Date,State,Rolling Avg Cases,Rolling Avg Deaths
2020-11-24,Kansas,2800.5714285714284,27.142857142857142
2020-11-25,Kansas,2780.5714285714284,25.285714285714285
2020-11-26,Kansas,2730.5714285714284,25.285714285714285
2020-11-27,Kansas,2574.4285714285716,17.0
2020-11-28,Kansas,2567.1428571428573,16.857142857142858
2020-11-29,Kansas,2549.5714285714284,17.0
2020-11-30,Kansas,2228.1428571428573,14.0
2020-12-01,Kansas,2206.5714285714284,14.857142857142858
2020-12-02,Kansas,2066.5714285714284,25.142857142857142
2020-12-03,Kansas,2155.8571428571427,25.142857142857142
2020-12-04,Kansas,2324.0,36.714285714285715
2020-12-05,Kansas,2337.285714285714,36.714285714285715
2020-12-06,Kansas,2322.5714285714284,36.714285714285715
2020-12-07,Kansas,2423.0,42.285714285714285
2020-12-08,Kansas,2437.4285714285716,42.285714285714285
2020-12-09,Kansas,2631.8571428571427,37.42857142857143
2020-12-10,Kansas,2591.0,37.42857142857143
2020-12-11,Kansas,2442.4285714285716,40.857142857142854
2020-12-12,Kansas,2426.285714285714,40.857142857142854
2020-12-13,Kansas,2432.1428571428573,40.857142857142854
2020-12-14,Kansas,2245.714285714286,36.142857142857146
2020-12-15,Kansas,2253.5714285714284,36.142857142857146
2020-12-16,Kansas,2071.285714285714,44.57142857142857
2020-12-17,Kansas,2062.714285714286,44.57142857142857
2020-12-18,Kansas,2148.0,38.42857142857143
2020-12-19,Kansas,2148.5714285714284,38.42857142857143
2020-12-20,Kansas,2144.8571428571427,38.42857142857143
2020-12-21,Kansas,2117.714285714286,48.42857142857143
2020-12-22,Kansas,2079.1428571428573,48.42857142857143
2020-12-23,Kansas,2138.285714285714,36.285714285714285
2020-12-24,Kansas,2110.4285714285716,36.285714285714285
2020-12-25,Kansas,1347.142857142857,23.714285714285715
2020-12-26,Kansas,1348.7142857142858,23.714285714285715
2020-12-27,Kansas,1357.0,23.714285714285715
2020-12-28,Kansas,1594.5714285714287,14.285714285714286
2020-12-29,Kansas,1615.142857142857,14.285714285714286
2020-12-30,Kansas,1784.2857142857142,33.42857142857143
2020-12-31,Kansas,1784.7142857142858,33.42857142857143
2021-01-01,Kansas,2468.0,53.142857142857146
2021-01-02,Kansas,2465.8571428571427,53.142857142857146
2021-01-03,Kansas,2454.1428571428573,53.142857142857146
2021-01-04,Kansas,2185.0,49.857142857142854
2021-01-05,Kansas,2183.5714285714284,49.857142857142854
2021-01-06,Kansas,2089.5714285714284,40.857142857142854
2021-01-07,Kansas,2155.0,40.857142857142854
2021-01-08,Kansas,2151.8571428571427,38.42857142857143
2021-01-09,Kansas,2167.0,38.42857142857143
2021-01-10,Kansas,2168.1428571428573,38.42857142857143
2021-01-11,Kansas,2290.1428571428573,51.142857142857146
2021-01-12,Kansas,2278.0,51.142857142857146
2021-01-13,Kansas,2173.1428571428573,46.857142857142854
2021-01-14,Kansas,2121.8571428571427,46.857142857142854
2021-01-15,Kansas,1968.7142857142858,52.285714285714285
